"","NE.LocAvg","NW.LocAvg","YH.LocAvg","EM.LocAvg","WM.LocAvg","E.LocAvg","L.LocAvg","SE.LocAvg","SW.LocAvg","W.LocAvg","S.LocAvg","NI.LocAvg","TurnBandAvg1","TurnBandAvg2","TurnBandAvg3","TurnBandAvg4","SmallAvg","MediumAvg","largeAvg","Births","Deaths","InternalMigrationInflow","InternalMigrationOutflow","InternationalMigrationInflow","InternationalMigrationOutflow","Males","Females","PopulationEst","Sector"
"425",35,120,99,94,120,221,666,438,249,64,114,19,1191,820,180,49,1992,202,34,420,340,870,882,316,174,18567,18892,37459,"Information & communication"
"426",1,15,6,6,10,14,40,31,18,1,1,1,79,56,10,0,136,16,0,520,433,1426,1327,326,243,23572,24271,47843,"Information & communication"
"427",9,26,21,21,19,20,160,64,30,12,24,20,149,210,42,25,330,75,24,361,147,774,1059,585,350,13574,13605,27179,"Information & communication"
"428",44,152,98,118,122,310,782,546,249,52,102,30,962,1260,319,65,2156,436,46,447,378,1325,1278,347,248,21204,21824,43028,"Information & communication"
"429",66,268,184,171,182,444,1171,691,369,91,146,31,1798,1728,264,26,3480,269,12,480,501,1544,1309,325,318,24917,25731,50648,"Information & communication"
"430",9,28,15,16,11,28,101,54,21,5,14,1,131,135,24,11,250,29,5,188,203,438,385,108,60,9603,9871,19474,"Information & communication"
"431",41,161,114,124,125,218,715,466,185,40,102,8,1106,1002,171,19,2025,224,11,384,427,360,284,303,150,20208,21250,41458,"Information & communication"
"432",152,991,555,396,514,1435,10006,3135,1209,522,624,214,10134,8279,1124,218,18812,681,52,258,175,130,118,161,119,10614,10935,21549,"Information & communication"
"433",21,119,64,55,70,224,1498,551,195,59,84,25,1615,1190,134,24,2832,116,14,272,282,566,533,171,71,13506,13977,27483,"Information & communication"
"434",2,28,10,9,20,42,392,110,29,6,12,4,278,272,69,46,566,70,10,489,423,867,806,311,143,21884,22426,44310,"Information & communication"
"435",5,20,15,11,12,22,72,40,26,15,18,10,68,135,55,11,154,94,15,136,120,301,298,90,57,6261,6418,12679,"Information & communication"
"436",35,171,136,95,119,248,1772,509,220,75,105,21,1546,1786,150,24,3341,85,5,640,574,1983,1828,455,265,30882,31554,62436,"Information & communication"
"437",18,72,40,48,46,68,251,142,58,32,42,6,415,351,50,8,772,70,5,509,413,1055,1070,383,211,22528,22922,45450,"Information & communication"
"438",14,75,45,35,50,92,509,189,45,36,36,10,394,624,79,40,1031,68,28,408,339,1118,1040,256,191,18479,19027,37506,"Information & communication"
"439",52,190,119,92,124,210,295,346,131,40,99,14,726,820,141,24,1594,105,10,1046,427,2243,3069,1695,1015,39322,39413,78735,"Information & communication"
"440",24,141,76,139,115,135,328,316,125,34,66,10,659,688,131,32,1365,114,15,712,602,2112,2036,552,395,33794,34782,68575,"Information & communication"
"441",5,9,4,2,14,15,40,35,15,5,11,0,35,92,20,8,131,18,5,240,250,772,654,162,159,12459,12866,25325,"Information & communication"
"442",116,462,298,301,419,591,1161,921,390,130,216,72,1480,2711,676,212,4432,582,90,168,182,392,344,97,54,8579,8819,17398,"Information & communication"
"443",568,2461,1624,1444,1908,3026,10269,6441,2461,700,1604,509,15764,15209,1732,309,30340,2239,185,434,482,407,320,342,169,22818,23994,46812,"Information & communication"
"444",1595,7630,4926,5321,6796,11905,32730,24424,7658,1929,5649,764,51938,56036,2862,490,106506,3116,261,273,185,138,125,171,126,11249,11589,22838,"Information & communication"
"445",16,75,40,39,64,91,230,139,51,24,44,8,419,372,25,4,766,32,0,322,333,668,630,202,84,15958,16513,32471,"Information & communication"
"446",314,1699,1016,1052,1355,1986,4376,3996,1828,481,861,91,9152,8292,1362,249,17355,1575,119,633,548,1123,1044,403,185,28350,29053,57404,"Information & communication"
"447",62,262,155,138,184,320,924,601,219,80,164,29,1500,1274,298,66,2730,345,45,351,309,779,770,232,148,16194,16599,32793,"Information & communication"
"448",25,110,58,54,74,112,518,219,95,29,48,8,699,568,64,18,1189,120,10,370,332,1147,1057,263,153,17854,18243,36097,"Information & communication"
"449",10,46,21,29,26,64,189,94,32,15,26,2,265,264,16,10,540,28,9,481,389,996,1009,361,199,21255,21627,42883,"Information & communication"
"450",65,239,174,148,185,325,1125,602,234,71,191,12,2019,1221,110,22,3029,142,8,767,638,2101,1955,481,358,34727,35756,70483,"Information & communication"
"451",11,50,15,20,25,20,250,15,18,20,79,112,45,262,141,186,291,219,129,138,56,296,405,224,134,5185,5197,10383,"Finance & insurance"
"452",156,732,510,508,574,595,3099,1182,492,144,406,132,8518,9,5,0,8134,0,0,1665,1410,4943,4765,1293,924,79084,81396,160480,"Finance & insurance"
"453",20,69,46,40,40,71,810,121,61,16,144,54,529,616,226,122,1364,109,9,442,461,1423,1206,299,293,22963,23714,46677,"Finance & insurance"
"454",5,32,9,15,30,20,49,54,14,6,19,5,45,108,61,44,211,39,6,138,149,321,281,79,44,7023,7220,14243,"Finance & insurance"
"455",21,145,96,84,82,112,355,142,70,50,42,26,325,676,134,92,989,154,48,205,227,192,151,162,80,10778,11333,22111,"Finance & insurance"
"456",92,571,296,252,265,479,2002,749,294,142,245,30,2091,2792,390,144,4852,309,39,201,136,101,92,126,93,8270,8520,16789,"Finance & insurance"
"457",6,38,26,19,14,31,64,51,18,12,19,5,24,179,71,29,235,35,16,93,96,193,182,59,24,4618,4779,9397,"Finance & insurance"
"458",14,66,35,24,40,71,251,118,45,18,12,15,114,351,145,99,519,124,56,204,176,362,336,130,60,9127,9353,18480,"Finance & insurance"
"459",0,0,0,0,2,0,12,0,0,5,0,0,1,8,1,10,12,4,4,81,72,181,179,54,34,3755,3849,7603,"Finance & insurance"
"460",102,1378,489,1018,346,411,288,810,576,199,410,81,6099,8,0,0,6012,0,0,839,752,2601,2397,596,347,40496,41376,81872,"Finance & insurance"
"461",4,29,28,18,18,36,160,52,19,16,22,4,245,135,16,9,371,16,5,561,455,1163,1178,422,232,24817,25251,50068,"Finance & insurance"
"462",6,58,26,38,28,68,496,109,49,9,22,24,258,426,165,84,800,144,36,251,209,688,640,157,117,11371,11708,23079,"Finance & insurance"
"463",518,3184,1470,2202,1422,2181,4435,3464,2145,878,1266,488,12754,9465,1145,289,21865,1192,121,1144,466,2452,3355,1853,1109,42987,43087,86074,"Finance & insurance"
"464",10,114,40,31,42,85,144,110,45,35,31,24,265,332,95,19,591,94,24,402,340,1193,1150,312,223,19085,19642,38727,"Finance & insurance"
"465",95,414,270,272,359,481,898,641,328,159,195,100,815,2594,678,125,3141,924,111,198,207,638,541,134,131,10295,10632,20927,"Finance & insurance"
"466",31,278,139,174,166,261,491,419,238,98,151,58,1102,1126,185,89,2274,248,80,141,153,329,289,81,45,7208,7410,14617,"Finance & insurance"
"467",15,69,49,30,48,82,1405,175,80,12,109,10,396,932,486,269,1569,376,74,187,208,176,138,148,73,9844,10351,20195,"Finance & insurance"
"468",96,435,280,242,362,432,1729,626,294,131,200,74,1326,3089,454,34,4406,172,0,294,199,148,134,184,136,12090,12456,24545,"Property"
"469",1209,5734,4214,4025,4649,5258,11215,7425,4946,1771,3752,1566,30465,21871,2864,564,52180,2360,286,266,275,552,521,167,69,13190,13650,26840,"Property"
"470",461,1761,1170,1115,1399,2080,6028,3298,1791,570,810,402,7065,12519,1202,99,18452,2101,106,601,521,1066,992,382,176,26921,27589,54510,"Property"
"471",369,1621,986,835,1030,1401,5219,2355,1246,348,865,242,6758,8670,931,159,14964,1161,90,504,443,1116,1104,332,213,23205,23787,46993,"Property"
"472",651,3658,1884,1254,1939,1786,13661,3029,1790,895,1770,1011,10439,19430,3022,438,28694,4050,441,289,259,895,825,205,120,13941,14244,28184,"Professional, scientific & technical"
"473",831,3735,2458,2442,3308,4621,11401,7412,3381,1245,2019,706,25332,16418,1589,220,39999,3326,229,549,445,1136,1152,412,227,24259,24683,48942,"Professional, scientific & technical"
"474",139,579,446,424,584,571,1569,929,430,150,308,142,2825,2735,561,149,4848,894,89,371,308,1016,945,233,173,16796,17294,34090,"Professional, scientific & technical"
"475",79,305,206,184,240,364,2042,979,365,82,194,56,2590,2156,308,42,4541,375,21,1040,424,2229,3050,1684,1008,39076,39167,78243,"Professional, scientific & technical"
"476",2879,14019,8916,9575,10831,17299,46590,34838,12716,3624,9755,1159,70199,96330,5061,611,168215,4376,249,1195,1012,3547,3419,928,663,56749,58408,115157,"Professional, scientific & technical"
"477",378,1274,984,881,990,1554,4398,2669,1446,444,1098,384,7802,7658,942,95,15092,1272,74,447,466,1439,1219,302,296,23212,23971,47183,"Professional, scientific & technical"
"478",3372,9254,4692,4866,6499,7451,9769,12111,6219,2446,9550,1116,39029,34239,3554,526,73955,3712,292,303,328,707,620,174,97,15486,15919,31405,"Professional, scientific & technical"
"479",628,646,451,372,476,525,528,779,406,236,738,90,3056,2368,399,51,5475,489,61,356,396,334,263,281,139,18741,19707,38447,"Professional, scientific & technical"
"480",18,78,39,36,31,214,208,218,55,32,79,11,508,412,82,15,830,124,8,150,101,76,68,94,69,6164,6350,12514,"Professional, scientific & technical"
"481",89,324,186,210,334,556,668,828,300,125,288,59,1662,1709,431,162,3292,549,148,105,108,217,205,66,27,5191,5372,10563,"Professional, scientific & technical"
"482",14,21,30,16,22,45,192,89,39,21,24,6,249,228,39,5,448,62,6,485,420,860,800,308,142,21708,22246,43954,"Professional, scientific & technical"
"483",260,1515,945,696,870,1530,5764,2789,1182,246,519,192,6202,8529,1481,295,14960,1441,154,421,371,934,923,278,178,19420,19907,39326,"Professional, scientific & technical"
"484",51,308,155,136,162,298,1180,548,216,56,104,15,1075,1846,260,48,2968,232,19,413,370,1279,1179,293,171,19918,20351,40268,"Professional, scientific & technical"
"485",46,191,135,126,162,274,1246,678,208,49,100,20,1089,1675,398,74,2782,409,82,314,255,651,660,236,130,13906,14150,28056,"Professional, scientific & technical"
"486",406,1546,1190,1234,1439,2129,7866,4038,1768,439,971,288,12095,10114,1039,65,22110,1020,15,773,643,2119,1972,485,361,35029,36067,71097,"Professional, scientific & technical"
"487",161,520,391,365,350,680,2869,1329,678,160,380,72,5045,2710,192,9,7795,198,15,1473,601,3158,4321,2387,1429,55369,55497,110866,"Professional, scientific & technical"
"488",26,152,98,71,110,120,514,235,118,75,80,21,1155,409,49,8,1534,62,8,991,839,2940,2835,769,550,47047,48423,95470,"Professional, scientific & technical"
"489",1400,4678,2845,2779,3279,4965,9379,7544,3931,1646,3274,374,19258,25386,1300,148,45744,1609,51,621,647,1996,1691,420,410,32207,33260,65466,"Professional, scientific & technical"
"490",99,386,261,258,290,401,330,680,619,191,306,131,1398,1759,766,30,2699,1168,40,114,124,266,234,66,36,5838,6002,11840,"Professional, scientific & technical"
"491",66,444,272,195,319,356,758,475,188,94,188,68,894,2012,424,91,3042,311,38,346,384,325,256,273,135,18204,19143,37347,"Business administration and support services"
"492",29,109,76,85,110,130,68,130,68,32,59,42,289,440,176,32,794,134,12,122,83,62,56,77,57,5043,5195,10238,"Business administration and support services"
"493",25,94,65,75,75,134,118,216,146,54,58,30,356,621,105,6,929,166,8,153,158,318,300,96,40,7601,7866,15466,"Business administration and support services"
"494",0,10,4,5,6,5,10,9,8,1,6,4,26,39,2,0,65,4,0,857,742,1521,1414,545,251,38389,39341,77730,"Business administration and support services"
"495",29,116,78,94,98,141,249,244,129,61,78,30,548,691,92,12,1196,126,11,420,370,931,920,277,177,19354,19839,39192,"Business administration and support services"
"496",15,39,41,39,48,41,15,39,54,31,60,26,202,205,39,1,415,29,0,505,453,1567,1444,359,209,24397,24927,49324,"Business administration and support services"
"497",125,426,395,359,395,491,245,508,390,285,355,190,1314,1978,762,110,3486,600,51,365,296,756,766,274,151,16137,16419,32556,"Business administration and support services"
"498",10,50,34,24,36,49,80,95,31,12,25,5,169,218,54,11,394,62,0,472,393,1293,1203,296,221,21371,22005,43376,"Business administration and support services"
"499",4,15,10,8,10,30,40,54,35,9,26,1,110,106,20,5,218,29,0,897,366,1923,2631,1453,870,33717,33795,67512,"Business administration and support services"
"500",1,15,14,15,19,41,80,76,28,5,9,2,142,104,48,11,281,19,0,993,841,2948,2842,771,551,47173,48552,95724,"Business administration and support services"
"501",136,431,374,310,410,491,472,694,392,202,376,104,1474,2101,695,122,3652,644,59,286,298,919,778,193,189,14822,15306,30128,"Business administration and support services"
"502",18,66,26,39,38,56,304,112,69,15,42,10,300,389,86,20,738,41,1,322,348,750,658,185,103,16430,16890,33321,"Business administration and support services"
"503",258,1396,924,682,1226,1656,6062,2774,952,251,549,60,6402,8521,1649,219,14009,1834,246,305,338,286,225,240,119,16030,16856,32885,"Business administration and support services"
"504",189,1190,656,705,898,1355,2774,1909,708,240,479,155,2258,5588,2775,636,7685,2668,844,54,36,27,24,34,25,2209,2276,4485,"Business administration and support services"
"505",36,414,175,125,140,202,501,382,126,42,75,8,1195,889,130,15,1925,170,25,195,201,404,381,122,51,9656,9992,19647,"Business administration and support services"
"506",92,496,332,239,349,364,1506,682,256,116,246,72,1364,2438,776,175,4264,408,64,537,465,953,886,342,157,24065,24661,48726,"Business administration and support services"
"507",31,140,90,89,99,170,589,359,192,62,166,24,345,1112,419,135,1585,346,44,261,230,578,571,172,110,12015,12316,24332,"Business administration and support services"
"508",29,115,69,62,74,132,529,226,145,45,120,22,408,994,144,24,1394,139,18,341,306,1058,975,243,141,16480,16838,33317,"Business administration and support services"
"509",154,555,341,324,464,641,1509,886,434,196,179,79,2219,2836,630,75,4541,998,181,260,211,538,546,195,107,11492,11693,23185,"Business administration and support services"
"510",71,259,162,176,211,321,398,452,162,81,98,30,970,1268,172,12,2139,194,12,559,465,1533,1426,351,262,25343,26094,51436,"Business administration and support services"
"511",21,110,48,36,44,88,139,135,66,26,30,16,424,309,24,2,755,40,0,1260,514,2702,3696,2042,1222,47364,47474,94838,"Business administration and support services"
"512",81,340,186,164,238,372,750,549,212,84,194,50,878,1769,448,126,2718,320,102,450,381,1335,1288,349,250,21367,21992,43359,"Business administration and support services"
"513",330,1092,806,746,1031,1399,1939,2096,1158,424,814,214,4736,6641,604,68,8906,2548,419,185,193,595,504,125,122,9603,9917,19519,"Business administration and support services"
"514",114,345,258,242,281,355,332,616,334,135,271,64,1751,1464,122,10,2941,329,31,209,226,488,428,120,67,10682,10981,21663,"Business administration and support services"
"515",156,492,328,340,389,626,1298,842,431,189,328,64,3051,2240,181,10,4621,706,52,308,342,289,228,243,120,16206,17041,33247,"Business administration and support services"
"516",451,1749,1218,1382,1526,2089,1175,3698,2286,1298,1525,519,7295,10954,638,29,17795,904,25,246,167,124,112,154,114,10144,10451,20595,"Business administration and support services"
"517",161,916,261,458,482,565,1632,678,245,286,175,31,3852,1808,190,40,5181,285,25,271,281,564,532,171,71,13468,13937,27404,"Business administration and support services"
"518",45,162,96,101,126,218,372,304,154,46,96,18,954,658,118,10,1640,154,10,612,530,1086,1010,390,179,27424,28104,55528,"Business administration and support services"
"519",30,174,60,44,62,64,134,88,59,46,44,11,295,346,132,41,605,200,62,135,119,299,296,89,57,6225,6381,12605,"Business administration and support services"
"520",46,219,182,221,288,371,1124,842,316,89,174,45,1215,2150,511,41,3436,438,28,336,301,1042,960,239,139,16228,16581,32809,"Business administration and support services"
"521",19,112,66,46,59,66,156,105,31,19,32,10,320,295,85,24,616,96,30,252,204,523,530,190,104,11155,11350,22506,"Business administration and support services"
"522",21,148,95,162,2354,148,112,148,80,58,52,28,312,2492,531,69,2886,368,54,400,333,1097,1021,251,187,18132,18670,36802,"Business administration and support services"
"523",2660,11029,6128,6251,8724,10238,25986,15864,7580,3395,5922,580,23908,74368,5589,492,101938,4192,181,1318,538,2826,3867,2136,1279,49547,49661,99208,"Business administration and support services"
"524",216,512,605,878,646,1291,52,1171,1196,449,19,20,5718,999,169,171,6382,295,288,467,395,1385,1336,362,259,22166,22814,44980,"Public administration & defence"
"525",5,25,12,10,18,11,22,20,5,32,5,10,28,25,94,30,36,69,76,34,35,109,93,23,22,1765,1823,3588,"Public administration & defence"
"526",0,1,0,2,0,0,4,2,4,1,15,4,8,8,11,8,10,14,11,24,26,55,48,14,8,1208,1242,2450,"Public administration & defence"
"527",0,0,1,4,0,5,5,5,5,0,0,0,4,6,15,0,5,19,1,77,86,72,57,61,30,4053,4262,8316,"Public administration & defence"
"528",4,0,0,0,1,0,5,0,0,0,5,0,1,1,6,6,0,6,9,11,8,6,5,7,5,461,475,935,"Public administration & defence"
"529",5,5,5,5,6,8,5,5,5,5,5,4,6,2,28,26,2,11,48,11,11,23,22,7,3,546,565,1112,"Public administration & defence"
"530",2,5,5,5,5,5,0,5,0,4,0,0,0,9,18,10,1,0,35,28,24,50,46,18,8,1251,1282,2533,"Public administration & defence"
"531",72,402,238,290,285,554,666,912,402,91,125,86,285,3461,379,1,2352,1701,28,181,159,400,396,119,76,8325,8534,16859,"Education"
"532",121,426,336,398,372,572,955,776,431,70,94,35,385,1260,2542,400,865,2822,919,49,44,151,139,35,20,2349,2400,4749,"Education"
"533",80,308,170,204,274,306,484,442,312,42,46,75,375,664,1308,398,611,604,1648,34,27,70,71,26,14,1501,1527,3028,"Education"
"534",66,231,156,148,180,221,458,358,189,94,138,32,652,1119,396,102,1534,394,292,125,104,343,319,79,59,5673,5841,11514,"Education"
"535",16,64,38,39,41,88,161,115,89,20,35,9,126,401,158,29,442,212,71,223,91,479,655,362,217,8395,8414,16809,"Education"
"536",20,71,49,44,51,102,192,141,69,36,55,10,162,385,132,161,499,139,222,102,86,301,291,79,56,4824,4965,9788,"Education"
"537",114,320,264,262,276,412,519,705,362,120,200,71,1248,2258,119,2,3014,494,5,371,386,1192,1010,251,245,19234,19863,39096,"Education"
"538",56,158,109,101,109,145,332,256,108,40,101,15,824,681,24,1,1370,109,5,276,298,643,564,159,88,14077,14471,28548,"Education"
"539",45,208,156,204,199,251,200,225,155,65,84,28,1110,669,35,5,1656,56,2,640,710,600,472,504,249,33634,35368,69003,"Education"
"540",539,1798,1352,1255,1569,1736,3545,3011,1942,696,982,276,9246,8175,1149,134,17616,1994,232,138,93,70,63,86,64,5681,5853,11535,"Education"
"541",136,408,315,300,392,378,1316,636,338,110,121,28,2335,1986,135,22,4176,270,31,227,234,471,444,143,59,11244,11635,22879,"Education"
"542",79,478,268,241,352,340,711,569,252,86,118,41,1800,945,510,281,3041,538,421,159,138,282,262,101,47,7117,7293,14409,"Health"
"543",551,2099,1345,1206,1641,1574,3361,2259,1049,602,1081,466,4819,7624,4761,32,11240,6921,78,186,163,411,407,122,78,8554,8769,17323,"Health"
"544",110,600,362,261,381,455,980,795,394,160,231,61,2199,2414,171,8,4472,310,6,483,433,1497,1379,343,200,23308,23815,47123,"Health"
"545",321,1234,829,740,954,1071,2196,1822,1016,488,1010,351,3349,8451,226,6,9305,2698,12,337,273,698,707,253,139,14894,15155,30049,"Health"
"546",585,2638,1676,1432,1989,2129,4716,3326,1760,681,839,285,11190,9828,879,160,21551,1502,228,504,419,1382,1286,316,236,22839,23516,46355,"Health"
"547",66,288,232,192,260,238,355,399,258,134,130,95,655,641,1246,104,1288,1218,334,167,68,359,491,271,162,6293,6308,12601,"Health"
"548",14,74,51,45,76,74,154,129,89,35,25,14,232,375,160,11,386,355,56,174,147,517,498,135,97,8266,8507,16773,"Health"
"549",99,426,286,274,372,384,476,594,455,172,161,75,479,1131,2034,131,1216,2425,294,79,82,253,215,53,52,4089,4223,8311,"Health"
"550",126,398,266,278,381,368,559,618,429,176,180,59,445,1749,1526,118,1160,2325,356,44,47,102,89,25,14,2231,2294,4525,"Health"
"551",251,674,515,542,629,640,1075,1016,692,282,449,91,1789,3485,1495,88,3795,2686,441,104,116,98,77,82,41,5493,5776,11270,"Health"
"552",398,1552,1146,1005,1151,1226,1946,1730,1222,952,990,481,2576,9830,1376,20,8166,5444,128,70,47,35,32,44,32,2883,2970,5853,"Health"
"553",524,1494,1184,1086,1258,1481,3649,2211,1446,638,1385,745,5544,9475,1932,150,14265,3925,384,98,102,204,193,62,26,4880,5050,9930,"Health"
"554",140,671,416,282,490,694,4634,1338,584,186,384,88,3784,5451,606,66,9332,442,52,795,688,1409,1311,505,233,35579,36461,72039,"Arts, entertainment, recreation and other services"
"555",52,248,159,141,140,338,1439,589,242,81,124,30,1736,1670,160,16,3338,132,2,716,630,1586,1568,472,302,32978,33805,66783,"Arts, entertainment, recreation and other services"
"556",191,736,556,546,562,1325,6570,2666,1350,370,555,79,9140,5886,460,21,15339,318,6,669,600,2074,1911,475,277,32294,32996,65290,"Arts, entertainment, recreation and other services"
"557",26,65,51,44,51,58,291,125,80,30,62,25,222,536,132,18,701,160,31,250,203,519,526,188,104,11071,11265,22336,"Arts, entertainment, recreation and other services"
"558",6,18,20,16,8,35,84,42,39,8,22,9,148,130,25,5,245,58,11,240,200,659,613,151,112,10891,11213,22104,"Arts, entertainment, recreation and other services"
"559",11,52,44,36,35,56,136,98,85,31,94,24,260,339,94,10,465,185,40,310,126,664,909,502,301,11645,11672,23318,"Arts, entertainment, recreation and other services"
"560",12,32,31,25,19,32,50,59,68,29,58,8,122,220,70,10,261,140,22,229,194,680,656,178,127,10886,11205,22091,"Arts, entertainment, recreation and other services"
"561",8,30,25,29,25,49,21,69,68,24,36,4,108,174,90,15,190,142,51,79,83,256,217,54,53,4123,4258,8382,"Arts, entertainment, recreation and other services"
"562",59,118,92,74,74,100,132,126,70,79,71,90,202,656,160,66,745,298,65,76,82,177,155,44,24,3868,3977,7845,"Arts, entertainment, recreation and other services"
"563",166,466,361,338,388,482,465,770,494,262,409,94,1402,2746,476,70,3238,1200,202,149,166,140,110,118,58,7845,8249,16094,"Arts, entertainment, recreation and other services"
"564",329,900,684,632,624,842,742,1406,852,482,1194,359,2748,5468,732,100,6372,2496,188,79,54,40,36,50,37,3255,3354,6609,"Arts, entertainment, recreation and other services"
"565",128,341,221,200,222,351,601,538,242,126,194,91,1660,1502,78,16,2801,245,25,213,220,442,417,134,56,10556,10923,21479,"Arts, entertainment, recreation and other services"
"566",251,754,881,1605,655,958,952,1586,1108,299,520,109,6359,2964,310,45,8275,651,51,725,628,1287,1197,462,212,32486,33291,65777,"Arts, entertainment, recreation and other services"
"567",18,60,36,54,32,49,20,58,84,36,22,14,145,255,76,6,309,132,31,142,125,316,312,94,60,6565,6729,13294,"Arts, entertainment, recreation and other services"
"568",175,612,449,400,422,572,1138,958,615,262,364,109,2536,3145,374,21,4810,1115,48,258,231,800,737,183,107,12454,12725,25179,"Arts, entertainment, recreation and other services"
"569",38,109,74,72,109,126,460,211,91,42,101,35,431,745,272,20,1161,271,15,333,270,689,698,250,138,14709,14966,29675,"Arts, entertainment, recreation and other services"
"570",48,186,114,145,166,198,674,358,158,48,111,30,799,1129,255,51,1864,282,55,327,272,896,834,205,153,14815,15254,30068,"Arts, entertainment, recreation and other services"
"571",19,25,21,26,19,25,76,35,16,14,22,5,72,185,30,15,242,45,20,347,141,744,1018,562,337,13041,13071,26112,"Arts, entertainment, recreation and other services"
"572",236,988,649,626,729,935,1715,1578,878,466,1020,722,6619,3734,178,11,9571,884,45,777,658,2306,2223,603,431,36894,37973,74868,"Arts, entertainment, recreation and other services"
"573",11,92,54,66,48,81,112,91,82,50,46,14,441,298,9,1,705,65,1,449,468,1444,1223,303,297,23293,24054,47347,"Arts, entertainment, recreation and other services"
"574",292,612,489,399,522,541,1155,862,599,324,575,352,1732,4385,566,40,5212,1345,98,137,148,320,280,79,44,7002,7198,14200,"Arts, entertainment, recreation and other services"
"575",94,418,304,279,354,449,1002,716,312,130,239,62,2120,2016,186,38,4044,198,25,493,547,462,364,388,192,25911,27247,53157,"Arts, entertainment, recreation and other services"
"576",14,71,45,46,55,54,129,94,46,22,55,15,226,378,36,8,578,42,5,188,128,95,86,118,87,7758,7992,15750,"Arts, entertainment, recreation and other services"
"577",20,62,56,46,68,72,88,108,62,22,41,6,320,301,31,0,598,59,0,231,239,480,453,145,60,11473,11872,23345,"Arts, entertainment, recreation and other services"
"578",32,118,92,80,84,139,131,200,104,45,66,39,475,615,39,1,1056,69,0,841,729,1492,1388,535,246,37673,38608,76281,"Arts, entertainment, recreation and other services"
"579",20,39,39,36,34,41,104,66,56,22,26,10,282,208,5,0,492,15,0,738,650,1636,1617,487,312,34011,34863,68874,"Arts, entertainment, recreation and other services"
"580",20,76,59,46,65,108,94,146,71,18,52,14,394,350,22,2,709,50,0,504,452,1564,1441,358,209,24347,24877,49224,"Arts, entertainment, recreation and other services"
"581",11,42,25,15,36,40,61,59,31,5,25,0,159,176,16,0,330,20,2,577,467,1195,1211,434,239,25509,25956,51465,"Arts, entertainment, recreation and other services"
"582",22,75,50,52,46,72,106,99,52,28,84,42,342,361,26,0,666,58,0,635,529,1741,1620,399,297,28783,29636,58419,"Arts, entertainment, recreation and other services"
"583",94,406,238,194,280,404,1342,624,312,145,260,102,1474,2811,104,12,3991,372,20,961,392,2060,2819,1557,932,36124,36207,72331,"Arts, entertainment, recreation and other services"
"584",1958,5224,3555,2885,3668,3718,6532,5142,3036,2100,3709,1522,25612,17185,240,11,39721,2784,31,951,805,2821,2720,738,527,45141,46460,91601,"Arts, entertainment, recreation and other services"
"585",82,236,175,148,162,148,122,226,189,142,182,80,276,1405,204,9,1379,470,11,237,247,761,645,160,157,12282,12683,24965,"Arts, entertainment, recreation and other services"
"586",80,229,146,125,141,191,445,286,122,62,132,60,1204,775,38,5,1838,100,9,304,328,708,622,175,97,15518,15952,31470,"Arts, entertainment, recreation and other services"
"587",444,2275,1388,1649,2088,2571,3710,4830,2126,771,1638,254,8229,13902,1528,84,22500,1910,32,444,493,416,328,350,173,23347,24551,47898,"Arts, entertainment, recreation and other services"
"588",0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,2,15,10,8,7,9,7,622,641,1262,"Arts, entertainment, recreation and other services"
